"id","utmlong","utmlat","ESTtime","dx","dy","dist","dt","R2n","abs.angle","rel.angle"
"1",567104,2948610,2016-07-06 12:00:00,-9,35,36.1386219991853,7200,80,1.82248629855308,1.82248629855308
"1",567095,2948645,2016-07-06 14:00:00,-3,-18,18.2482875908947,7200,1250,-1.73594500420952,2.72475400441698
"1",567092,2948627,2016-07-06 16:00:00,-2,-19,19.1049731745428,7200,569,-1.67567326552513,0.060271738684393
"1",567090,2948608,2016-07-06 18:00:00,-10,17,19.723082923316,7200,520,2.1025203940537,-2.50499164760075
"1",567080,2948625,2016-07-06 20:00:00,24,0,24,7200,1145,0,-2.1025203940537
"1",567104,2948625,2016-07-06 22:00:00,0,3,3,7200,185,1.5707963267949,1.5707963267949
"1",567104,2948628,2016-07-07 00:00:00,10,-3,10.4403065089106,7200,260,-0.291456794477867,-1.86225312127276
"1",567114,2948625,2016-07-07 02:00:00,-12,-2,12.1655250605964,7200,125,-2.97644397617517,-2.6849871816973
"1",567102,2948623,2016-07-07 04:00:00,2,5,5.3851648071345,7200,181,1.19028994968253,-2.11645138132189
"1",567104,2948628,2016-07-07 06:00:00,44,-12,45.6070170039655,7200,260,-0.266252049150925,-1.45654199883346
"1",567148,2948616,2016-07-07 08:00:00,-46,25,52.3545604508337,7200,1300,2.64377032097279,2.91002237012372
"1",567102,2948641,2016-07-07 10:00:00,-2,-9,9.21954445729289,7200,829,-1.78946527266884,1.84994971353796
"1",567100,2948632,2016-07-07 12:00:00,-8,-9,12.0415945787923,7200,468,-2.29743866747662,-0.507973394807784
"1",567092,2948623,2016-07-07 14:00:00,8,2,8.24621125123532,7200,481,0.244978663126864,2.54241733060349
"1",567100,2948625,2016-07-07 16:00:00,-11,-21,23.7065391822594,7200,265,-2.05330962181737,-2.29828828494424
"1",567089,2948604,2016-07-07 18:00:00,-7,37,37.6563407675255,7200,629,1.75777559671381,-2.4721000886484
"1",567082,2948641,2016-07-07 20:00:00,12,-16,20,7200,1629,-0.927295218001612,-2.68507081471542
"1",567094,2948625,2016-07-07 22:00:00,-4,5,6.40312423743285,7200,445,2.24553726901845,-3.11035282015952
"1",567090,2948630,2016-07-08 00:00:00,14,13,19.1049731745428,3600,740,0.748378047523518,-1.49715922149493
"1",567104,2948643,2016-07-08 01:00:00,-24,-13,27.2946881279124,3600,905,-2.64516990018491,2.88963735947116
"1",567080,2948630,2016-07-08 02:00:00,-5,-11,12.0830459735946,3600,1280,-1.99742381992177,0.647746080263139
"1",567075,2948619,2016-07-08 03:00:00,9,6,10.816653826392,3600,1394,0.588002603547568,2.58542642346934
"1",567084,2948625,2016-07-08 04:00:00,-5,0,5,3600,905,3.14159265358979,2.55359005004223
